UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory ,ProductType,ProductOriginCountry,NotifierType
ICID00030727,2017-09-26,Food Additives & Flavourings,Non-Alcoholic Beverages,United States (US),Administrative Assistance and Cooperation System (AAC) 
ICID00030728,2017-09-27,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00030729,2017-09-27,Composition,Alcoholic Beverages,United Kingdom (GB),Local Authority
ICID00030730,2017-09-28,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030731,2017-09-27,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00030732,2017-09-28,Composition,Other Food Product / Mixed,Nigeria (NG),Administrative Assistance and Cooperation System (AAC) 
ICID00030733,2017-09-28,Chemical Contamination (other),Nuts / Nut Products / Seeds,United Kingdom (GB),Local Authority
ICID00030734,2017-09-28,Allergens,Nuts / Nut Products / Seeds,India (IN),Local Authority
ICID00030735,2017-09-28,Poor or Insufficient Controls,Pet Food,United Kingdom (GB),General Public
ICID00030736,2017-09-28,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00030737,2017-09-28,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00030738,2017-09-28,Allergens,Prepared Dishes & Snacks ,India (IN),Local Authority
ICID00030739,2017-09-28,Clandestine Detection,Other Food Product / Mixed,France (FR),Home Office / Border Force
ICID00030740,2017-09-22,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00030741,2017-09-29,Allergens,Confectionery,Unkown,Local Authority
ICID00030742,2017-09-28,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00030743,2017-09-28,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00030744,2017-09-29,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00030745,2017-09-29,Food Additives & Flavourings,Confectionery,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030746,2017-09-29,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force
ICID00030747,2017-09-29,Foreign Bodies ,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00030748,2017-09-30,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030749,2017-09-30,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force
ICID00030750,2017-09-30,Clandestine Detection,Milk & Milk Products,Unknown,Home Office / Border Force
ICID00030751,2017-09-30,Clandestine Detection,Fruit & Vegetables,Unknown,Home Office / Border Force
ICID00030752,2017-09-29,Pathogenic Micro-Organisms,Herbs & Spices,China (CX),RASFF
ICID00030755,2017-09-29,Clandestine Detection,Cereals & Bakery Products,Italy (IT),Home Office / Border Force
ICID00030760,2017-09-26,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Netherlands (NL),Local Authority
ICID00030762,2017-09-29,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030763,2017-09-29,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030766,2017-09-28,Composition,Honey & Royal Jelly,United Kingdom (GB),EU Member States
ICID00030793,2017-09-28,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Switzerland (CH),RASFF
ICID00030819,2017-09-27,Composition,Food Additives & Flavourings,India (IN),Local Authority
ICID00030874,2017-09-27,Composition,Food Additives & Flavourings,India (IN),Local Authority
